product_id,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name,product_name
1e9e8ef04dbcff4541ed26657ea517e5,40.0,287.0,1.0,225.0,16.0,10.0,14.0,perfumery,perfumery_1e9e8e
3aa071139cb16b67ca9e5dea641aaa2f,44.0,276.0,1.0,1000.0,30.0,18.0,20.0,art,art_3aa071
96bd76ec8810374ed1b65e291975717f,46.0,250.0,1.0,154.0,18.0,9.0,15.0,sports_leisure,sports_leisure_96bd76
cef67bcfe19066a932b7673e239eb23d,27.0,261.0,1.0,371.0,26.0,4.0,26.0,baby,baby_cef67b
9dc1a7de274444849c219cff195d0b71,37.0,402.0,4.0,625.0,20.0,17.0,13.0,housewares,housewares_9dc1a7
41d3672d4792049fa1779bb35283ed13,60.0,745.0,1.0,200.0,38.0,5.0,11.0,musical_instruments,musical_instruments_41d367
732bd381ad09e530fe0a5f457d81becb,56.0,1272.0,4.0,18350.0,70.0,24.0,44.0,cool_stuff,cool_stuff_732bd3
2548af3e6e77a690cf3eb6368e9ab61e,56.0,184.0,2.0,900.0,40.0,8.0,40.0,furniture_decor,furniture_decor_2548af
37cc742be07708b53a98702e77a21a02,57.0,163.0,1.0,400.0,27.0,13.0,17.0,home_appliances,home_appliances_37cc74
8c92109888e8cdf9d66dc7e463025574,36.0,1156.0,1.0,600.0,17.0,10.0,12.0,toys,toys_8c9210
14aa47b7fe5c25522b47b4b29c98dcb9,54.0,630.0,1.0,1100.0,16.0,10.0,16.0,bed_bath_table,bed_bath_table_14aa47
03b63c5fc16691530586ae020c345514,49.0,728.0,4.0,7150.0,50.0,19.0,45.0,baby,baby_03b63c
cf55509ea8edaaac1d28fdb16e48fc22,43.0,1827.0,3.0,250.0,17.0,7.0,17.0,musical_instruments,musical_instruments_cf5550
7bb6f29c2be57716194f96496660c7c2,51.0,2083.0,2.0,600.0,68.0,11.0,13.0,furniture_decor,furniture_decor_7bb6f2
eb31436580a610f202c859463d8c7415,59.0,1602.0,4.0,200.0,17.0,7.0,17.0,construction_tools_safety,construction_tools_safety_eb3143
3bb7f144022e6732727d8d838a7b13b3,22.0,3021.0,1.0,800.0,16.0,2.0,11.0,sports_leisure,sports_leisure_3bb7f1
6a2fb4dd53d2cdb88e0432f1284a004c,39.0,346.0,2.0,400.0,27.0,5.0,20.0,perfumery,perfumery_6a2fb4
a1b71017a84f92fd8da4aeefba108a24,59.0,636.0,1.0,900.0,40.0,15.0,20.0,computers_accessories,computers_accessories_a1b710
a0736b92e52f6cead290e30b578413b6,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,furniture_decor,furniture_decor_a0736b
f53103a77d9cf245e579ea37e5ec51f0,52.0,206.0,1.0,500.0,16.0,10.0,16.0,bed_bath_table,bed_bath_table_f53103
1c1890ba1779090cd54008a3c3302921,27.0,158.0,4.0,2550.0,29.0,24.0,45.0,furniture_decor,furniture_decor_1c1890
518ef5de2c2b3a255e326a4594ba15d9,27.0,329.0,2.0,800.0,36.0,8.0,16.0,bed_bath_table,bed_bath_table_518ef5
e3e020af31d4d89d2602272b315c3f6e,58.0,1987.0,3.0,75.0,21.0,7.0,13.0,health_beauty,health_beauty_e3e020
8b41fbc2b984a12030090112324d1bc4,55.0,1627.0,1.0,500.0,20.0,13.0,13.0,baby,baby_8b41fb
d03bd02af9fff4b98f1c972315e5e9ef,56.0,209.0,1.0,1800.0,40.0,10.0,30.0,furniture_decor,furniture_decor_d03bd0
8ba4f2a4ae695d26e5626c1bf710975e,52.0,968.0,1.0,900.0,50.0,5.0,50.0,housewares,housewares_8ba4f2
f6574524b07d5bb753bab6f35abe2d06,52.0,573.0,5.0,3600.0,35.0,25.0,50.0,luggage_accessories,luggage_accessories_f65745
c78b767da00efb70c1bcccab87c28cd5,35.0,1101.0,2.0,300.0,42.0,2.0,30.0,computers_accessories,computers_accessories_c78b76
a0253d43394dd4da9a5d7b1f546f1a32,59.0,1890.0,2.0,740.0,23.0,13.0,13.0,computers_accessories,computers_accessories_a0253d
051b9ff13dd55c0a6655a15ff296f80d,50.0,529.0,2.0,3600.0,62.0,23.0,23.0,sports_leisure,sports_leisure_051b9f
47859fca9dd7485cbd93c3e8993bb74f,45.0,206.0,1.0,650.0,16.0,10.0,16.0,bed_bath_table,bed_bath_table_47859f
e1d1d22e9f8122a4ec1533b032c12562,49.0,1163.0,9.0,2150.0,70.0,8.0,34.0,garden_tools,garden_tools_e1d1d2
20e37962088a4061d3578def47a8648b,60.0,208.0,1.0,800.0,40.0,10.0,34.0,furniture_decor,furniture_decor_20e379
1eba879220bd0981a0e2fbab499ed4e1,57.0,476.0,1.0,8950.0,52.0,51.0,17.0,office_furniture,office_furniture_1eba87
ce5b91848b91118daffb3af53b747475,50.0,699.0,4.0,1388.0,34.0,9.0,31.0,sports_leisure,sports_leisure_ce5b91
